Project_Name,Tool_Name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
seaborn,bandit,CWE-78,3,True
seaborn,bandit,CWE-20,7,True
seaborn,bandit,CWE-94,1,True
seaborn,bandit,CWE-703,2699,False
seaborn,bandit,CWE-22,4,True
seaborn,semgrep,CWE-95,3,False
seaborn,semgrep,CWE-611,1,False
seaborn,semgrep,CWE-939,2,False
seaborn,pipaudit,CWE-937,0,False
django,bandit,CWE-703,70,False
django,bandit,CWE-259,402,False
django,bandit,CWE-838,3,False
django,bandit,CWE-80,67,False
django,bandit,CWE-79,192,True
django,bandit,CWE-327,9,False
django,bandit,CWE-89,91,True
django,bandit,CWE-502,116,True
django,bandit,CWE-330,16,False
django,bandit,CWE-78,47,True
django,bandit,CWE-605,7,False
django,bandit,CWE-20,55,True
django,bandit,CWE-400,1,True
django,bandit,CWE-377,29,False
django,bandit,CWE-22,7,True
django,bandit,CWE-732,1,False
django,semgrep,CWE-79,222,True
django,semgrep,CWE-521,4,False
django,semgrep,CWE-89,211,True
django,semgrep,CWE-502,15,True
django,semgrep,CWE-95,5,False
django,semgrep,CWE-611,4,False
django,semgrep,CWE-327,2,False
django,pipaudit,CWE-937,0,False
flask,bandit,CWE-703,1066,False
flask,bandit,CWE-259,10,False
flask,bandit,CWE-78,2,True
flask,bandit,CWE-79,3,True
flask,bandit,CWE-327,1,False
flask,bandit,CWE-94,2,True
flask,semgrep,CWE-79,4,True
flask,semgrep,CWE-95,2,False
flask,semgrep,CWE-327,1,False
flask,pipaudit,CWE-937,0,False
